Pais	Poblacion_miles	Superficie_km2	Porcentaje_menores_15	Esperanza_vida_nacer	Tasa_mortalidad_infantil	Telefonos_1000_hab	Usuarios_internet_1000_hab	PBI_per_capita	Porcentaje_PBI_Agricultura	Porcentaje_PBI_Industria	Porcentaje_PBI_Servicios
México	95831	1958201	34	72.4	30.9	96	3.7	3670	5.4	26.3	68.3
Guatemala	11621	108899	44	64.2	45.9	27	0.8	1470	24.1	19.6	56.3
Honduras	6147	112088	43	69.8	34.9	29	0.9	660	21.7	30.9	47.4
Nicaragua	4464	130000	42	68.2	43.9	23	1.6	380	34.2	21.9	43.9
El Salvador	6059	21041	36	69.4	38.8	53	0.3	1700	13.1	26.8	60.1
Costa Rica	3650	51100	34	76.8	12.1	164	12.1	2640	15.5	24.1	60.4
Panamá	2767	75517	32	74	21.4	114	1.4	3080	8.2	18.4	73.4
Cuba	11115	110861	22	76	9	32	0.1	1983	6.9	46.3	46.8
Rep. Dominicana	8232	48734	34	71	33.5	73	0	1600	12.9	31.6	55.5
Puerto Rico	3806	8875	24	75.3	10.8	332	0.3	12213	0.9	46.8	52.3
Colombia	37685	1138914	33	70.9	24	100	1.8	2140	16.3	19.9	63.8
Venezuela	23242	912050	35	72.8	20.9	111	2.1	3020	4.1	46.5	49.4
Brasil	165158	8547403	30	67.9	42.1	75	4.2	4400	14	35.9	50.1
Ecuador	12175	283561	35	69.9	45.4	65	0.9	1500	11.9	36.7	51.4
Perú	24797	1285216	34	68.3	44.9	47	2.6	2420	7.4	36.9	55.7
Bolivia	7958	1098051	40	61.4	65.5	47	0.7	830	17	28.5	54.5
Chile	14824	756626	29	75.2	12.7	132	13.1	4860	8.4	35.9	62.3
Paraguay	5223	406752	40	69.7	39.1	34	0.5	1850	23.7	22.1	54.2
Argentina	36123	2780400	28	73.1	21.8	160	5.3	8380	6	30.7	63.3
Uruguay	3239	177414	24	72.8	16.5	196	3.2	5760	8.9	26.4	64.7
España	39754	505992	16	77.9	5.5	385	31	14350	5.9	37.8	56.3
Portugal	9798	91982	17	75	6.9	361	18.3	10160	1.7	53.2	45.1
