omm_id	fecha	tmax	tmin	tmed	td	pres_est	pres_nm	prcp	hr	helio	nub	vmax_d	vmax_f	vmed	estado	num_observaciones
87544	2016-02-01	27	11	20.9	13.9	1011	1021.3	0	66	13	0	9	8.7	4.3	V	3
87544	2016-02-02	29.6	12.8	24.5	15.6	1006.1	1016.3	0	59	12.9	1	2	9.3	4.6	V	3
87544	2016-02-03	32.4	15.8	25.9	18	1000.2	1010.3	0	65	12.5	3	5	12.9	5.3	V	3
87544	2016-02-04	33	18.8	27.1	20.2	999.5	1009.5	2	67	9.3	6	36	10.8	3.3	V	3
87544	2016-02-05	30.8	19.6	25.1	21	1004.9	1015	0	79	4.4	7	9	10.3	2.9	V	3
87544	2016-02-06	32.7	19.7	27.3	21.5	1005	1015	38	72	9.8	5	11	10.8	4.3	V	3
87544	2016-02-07	27.1	19.7	21.1	19.5	999.7	1009.8	36	91	1.3	6	5	14.9	4.6	V	3
87544	2016-02-08	29.4	18.4	24.2	21.1	999.4	1009.5	0.2	84	4.3	7	20	7.7	1.2	V	3
87544	2016-02-09	32.4	20.2	27.2	19.5	1002.2	1012.2	0	66	12.3	0	27	6.7	3.1	V	3
87544	2016-02-10	31.8	18.4	26.3	20.1	1004.3	1014.3	2	70	11.9	2	7	9.8	5.3	V	3
87544	2016-02-11	31	20.2	26.1	22.8	999.9	1009.9	0.2	83	7.8	6	36	9.3	3.4	V	3
87544	2016-02-13	28	20	24	16.4	999.6	1009.6	0	64	8.4	2	23	11.8	4.6	V	3
87544	2016-02-14	32.7	14.4	25.7	15.5	999.3	1009.4	0	56	11.9	2	32	7.2	1.7	V	3
87544	2016-02-15	32.8	16.8	26.6	19.1	998.7	1008.7	0	66	12.2	1	5	8.2	3.3	V	3
87544	2016-02-16	33.2	20.8	29.1	24.2	992.2	1002.1	38	75	9.8	5	20	18.5	8.4	V	3
87544	2016-02-17	30.2	18.6	24.4	18.5	997.1	1007.2	0	72	10.7	2	5	17.5	2.7	V	3
87544	2016-02-18	25	17.2	20.6	18.4	1001.1	1011.3	12	87	3	8	7	22.1	5.7	R	3
87544	2016-02-19	23.2	16.5	20.6	16.5	1005.3	1015.5	0	78		8	14	9.8	3.8	R	3
87544	2016-11-02	21	6	16.8	4.8	1004	1014.4	0	47	12.4	0	23	14.4	4.6	V	3
87544	2016-11-03	29.6	13	23.6	10.3	1002.2	1012.4	0	44	11.6	6	29	13.9	5.5	V	3
87544	2016-11-04	29.4	15.2	24.9	13.2	1007.8	1017.9	0	49	12.4	0	23	9.8	3.6	V	3
87544	2016-11-05	32.4	16.3	26.7	15.4	1003.3	1013.4	0	51	12.5	0	34	15.4	5.1	V	3
87544	2016-11-06	32.8	16.5	25.5	16.1	999.2	1009.3	0.2	57	12.1	3	16	20.1	7.5	V	3
87544	2016-11-07	23.2	11.7	17	10.5	1007.8	1018.2	0	67	8.3	3	14	16.5	6.3	V	3
87544	2016-11-08	24.2	9.9	18.9	13.5	1005.1	1015.5	11	73	10.8	6	2	12.9	5.7	V	3
87544	2016-11-09	24.4	17	21	12.1	999.9	1010.1	0	60	10.5	2	23	16.5	4.3	V	3
