algoritmo,fold,cutoff,accuracy,f1,kappa,precision,recall,specificity
McFeeters,1,-0.99,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.98,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.97,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.96,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.95,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.94,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.9299999999999999,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.9199999999999999,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.91,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.9,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.89,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.88,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.87,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.86,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.85,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.84,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.83,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.82,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.81,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.8,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.79,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.78,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.77,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.76,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.75,0.5,0.6666666666666666,0,0.5,1,0
McFeeters,1,-0.74,0.5000306835057746,0.6666803040593063,6.13670115492404e-5,0.5000153422236405,1,6.136701154927157e-5
McFeeters,1,-0.73,0.5001881921687511,0.666750318125589,3.7638433750220024e-4,0.5000941137958549,1,3.76384337502199e-4
McFeeters,1,-0.72,0.5005175284640655,0.6668967587034813,0.0010350569281309951,0.5002588982192305,1,0.0010350569281310472
McFeeters,1,-0.71,0.501012555690563,0.6671160868782033,0.0020251113811260435,0.5005067930748518,0.9999959088658967,0.0020292025152292468
McFeeters,1,-0.7,0.5016159979707975,0.6673829380871183,0.003231995941594956,0.5008093167727315,0.9999877265976902,0.003244269343904824
McFeeters,1,-0.69,0.5022337592203935,0.6676572980074925,0.004467518440786966,0.5011193983951189,0.9999836354635868,0.00448388297720011
McFeeters,1,-0.6799999999999999,0.502894477378074,0.6679492364701639,0.005788954756148046,0.5014514815369497,0.999971362061277,0.005817592694870945
McFeeters,1,-0.6699999999999999,0.5035838334744774,0.6682487843621883,0.007167666948954876,0.5017984799149212,0.9999345418543475,0.007233125094607476
McFeeters,1,-0.6599999999999999,0.5042486427662612,0.6685412774524258,0.008497285532522492,0.5021335694606804,0.999914086183831,0.00858319934869145
McFeeters,1,-0.6499999999999999,0.5049932291730591,0.6688652006732441,0.009986458346118221,0.5025094631743219,0.9998731748427981,0.010113283503319956
McFeeters,1,-0.6399999999999999,0.5058135015607677,0.6692251767247694,0.011627003121535306,0.5029242172934218,0.9998404457699719,0.011786557351563427
McFeeters,1,-0.63,0.5065867259062885,0.6695563187622352,0.013173451812577008,0.5033159639981052,0.999770896490216,0.013402555322360912
McFeeters,1,-0.62,0.5074581374702881,0.6699346270837704,0.014916274940576235,0.5037581739768614,0.99971362061277,0.01520265432780621
McFeeters,1,-0.61,0.5081924960418277,0.6702409559234997,0.016384992083655403,0.5041317198477299,0.9996072511260846,0.01677774095757085
McFeeters,1,-0.6,0.5089023078087477,0.6705284494269769,0.017804615617495356,0.5044935652806001,0.9994640614324697,0.018340554185025632
McFeeters,1,-0.59,0.5096284841120807,0.6708082722254264,0.019256968224161453,0.5048647240842599,0.9992513224590989,0.020005645765062533
McFeeters,1,-0.58,0.5103239769096392,0.6710538249075892,0.02064795381927831,0.5052214053825892,0.9989444874013526,0.021703466417925713
McFeeters,1,-0.5700000000000001,0.5110194697071976,0.671284340338226,0.022038939414395164,0.5055792035627362,0.9985681030638504,0.023470836350544734
